Column,Outlier Count
HDD65,50
HDD30YR_PUB,51
CDD30YR_PUB,1
KOWNRENT,22
NCOMBATH,22
NHAFBATH,57
OTHROOMS,33
TOTROOMS,10
STUDIO,14
ROOFTYPE,16
HIGHCEIL,123
DOOR1SUM,28
WINFRAME,33
ADQINSUL,16
DRAFTY,67
MONPOOL,38
POOLPUMP,38
FUELPOOL,5
RECBATH,166
MONTUB,91
FUELTUB,108
NUMFRIG,22
SIZRFRI1,16
TYPERFR1,16
AGERFRI1,5
ICE,5
LOCRFRI2,8
WINECHILL,57
NUMFREEZ,34
RANGE,207
COOKTOP,8
OVEN,52
RANGEFUEL,60
ROVENUSE,26
COOKTOPFUEL,125
COOKTOPINDT,125
COOKTOPUSE,67
OVENUSE,46
MICRO,178
AMTMICRO,47
NUMMEAL,36
DWASHUSE,16
WASHLOAD,29
DRYRUSE,32
TVCOLOR,17
TVSIZE1,65
TVTYPE1,113
TVUSE1,22
TVONWD1,50
TVONWE1,38
TVUSE2,22
TVONWD2,21
TVONWE2,37
TVTYPE3,26
TVUSE3,15
TVONWD3,48
TVONWE3,42
CABLESAT,24
COMBODVR,23
SEPDVR,104
INTSTREAM,24
PLAYSTA,12
DVD,7
VCR,100
TVAUDIOSYS,71
DESKTOP,39
NUMLAPTOP,34
NUMTABLET,23
ELPERIPH,22
NUMSMPHONE,27
CELLPHONE,28
INTERNET,84
SMARTSPK,35
HEATHOME,6
DNTHEAT,6
EQUIPM,13
FUELHEAT,1
EQUIPAGE,6
GEOHP,28
EQUIPAUXTYPE,93
EQUIPAUX,6
FUELAUX,2
NUMPORTEL,45
NUMFIREPLC,4
NUMDLHP,41
NUMPORTHUM,5
COOLAPT,44
ACEQUIPAUXTYPE_PUB,76
NUMDLHPAC,61
NUMWWAC,13
NUMPORTAC,96
NUMCFAN,16
NUMFLOORFAN,26
USECFAN,1
DEHUMTYPE,57
NUMPORTDEHUM,3
USEDEHUM,2
TYPETHERM,3
HEATCNTL,12
TEMPHOME,9
TEMPGONE,8
TEMPNITE,13
H2OMAIN,7
FUELH2O,4
MORETHAN1H2O,95
FUELH2O2,3
FOWATER,136
LPWATER,163
SOLWATER,8
WDWATER,9
LGTIN1TO4,38
LGTIN4TO8,40
LGTINMORE8,39
LGTOUTNITE,23
ELPAY,2
NGPAY,4
FOPAY,2
WHYPOWEROUT,4
LPOTHER,53
FOOTHER,2
USESOLAR,8
SDESCENT,64
HOUSEHOLDER_RACE,78
NHSLDMEM,40
NUMCHILD,40
NUMADULT1,10
NUMADULT2,5
SCALEB,98
SCALEG,119
SCALEE,80
PAYHELP,152
NOHEATBROKE,27
NOHEATEL,10
NOHEATNG,3
NOHEATBULK,27
NOHEATDAYS,10
NOHEATHELP,58
COLDMA,6
NOACBROKE,43
NOACEL,8
NOACDAYS,15
NOACHELP,50
HOTMA,5
ENERGYASST,132
ENERGYASST20,88
ENERGYASST19,87
ENERGYASST18,74
ENERGYASST17,132
ENERGYASST16,132
ENERGYASSTOTH,132
SQFTEST,21
TOTSQFT_EN,22
TOTHSQFT,21
TOTCSQFT,15
ZADQINSUL,15
ZAGERFRI1,152
ZAIRCOND,6
ZAMTMICRO,70
ZATHOME,37
ZBACKUP,20
ZBEDROOMS,10
ZBLENDER,29
ZCABLESAT,65
ZCELLPHONE,47
ZCOLDMA,25
ZCOMBODVR,65
ZCOOKTOP,130
ZCOOKTOPFUEL,35
ZCOOKTOPINDT,125
ZCOOKTOPUSE,42
ZCOOLAPT,16
ZCROCKPOT,28
ZCWASHER,9
ZDEHUMTYPE,27
ZDESKTOP,41
ZDISHWASH,4
ZDOOR1SUM,20
ZDRAFTY,5
ZDRYER,10
ZDVD,65
ZEDUCATION,43
ZELPAY,16
ZELPERIPH,22
ZEMPLOYHH,37
ZENERGYASST,59
ZENERGYASST16,132
ZENERGYASST17,132
ZENERGYASST18,132
